,_id,cvFile,list_of_skills
0,6481e6610b49785f623f5ed8,"{'customer', 'principle', 'management', 'reporting', 'addition', 'insurance'}","{'customer', 'principle', 'management', 'reporting', 'addition', 'insurance'}"
1,6481e6610b49785f623f5edd,"{'branding', 'excel', 'time management', 'software', 'microsoft', 'platforms', 'health', 'graphic design', 'writer', 'customer', 'communication', 'data', 'spss', 'word', 'public', 'articles', 'instagram', 'management', 'survey', 'field work', 'live', 'writing', 'rhythm', 'communication skills', 'project', 'design', 'mail', 'draft', 'youtube', 'leadership', 'coordinated', 'building', 'research'}","{'branding', 'excel', 'time management', 'software', 'microsoft', 'platforms', 'health', 'graphic design', 'writer', 'customer', 'communication', 'data', 'spss', 'word', 'public', 'articles', 'instagram', 'management', 'survey', 'field work', 'live', 'writing', 'rhythm', 'communication skills', 'project', 'design', 'mail', 'draft', 'youtube', 'leadership', 'coordinated', 'building', 'research'}"
2,6481e6620b49785f623f5ee2,"{'digital', 'materials', 'languages', 'literature', 'microsoft', 'english literature', 'platforms', 'english', 'engage', 'office', 'customer', 'data', 'debate', 'mercedes', 'insurance', 'astra', 'microsoft office', 'soft skills', 'operations', 'customer service', 'liaison', 'resolve', 'organization', 'social media', 'disney', 'aviation', 'technology', 'processing'}","{'digital', 'materials', 'languages', 'literature', 'microsoft', 'english literature', 'platforms', 'english', 'engage', 'office', 'customer', 'data', 'debate', 'mercedes', 'insurance', 'astra', 'microsoft office', 'soft skills', 'operations', 'customer service', 'liaison', 'resolve', 'organization', 'social media', 'disney', 'aviation', 'technology', 'processing'}"
3,6481e6630b49785f623f5ee7,"{'java', 'purchase orders', 'problem solving', 'metal', 'games', 'steel', 'strategic thinking', 'multitasking', 'maintenance', 'office', 'welding', 'employment contracts', 'industrial engineering', 'pipe', 'extensions', 'management', 'learning', 'catering', 'schedules', 'insurance', 'training', 'operations', 'record', 'organization', 'contribute', 'building', 'infrastructure', 'scheduling', 'gloves'}","{'java', 'purchase orders', 'problem solving', 'metal', 'games', 'steel', 'strategic thinking', 'multitasking', 'maintenance', 'office', 'welding', 'employment contracts', 'industrial engineering', 'pipe', 'extensions', 'management', 'learning', 'catering', 'schedules', 'insurance', 'training', 'operations', 'record', 'organization', 'contribute', 'building', 'infrastructure', 'scheduling', 'gloves'}"
4,6481e6640b49785f623f5eec,"{'digital', 'communications', 'microsoft', 'campaigns', 'office', 'customer', 'communication', 'instagram', 'public', 'management', 'live', 'writing', 'public relations', 'resolving issues', 'project', 'sponsorship', 'customer satisfaction', 'journalists', 'social media', 'cisco'}","{'digital', 'communications', 'microsoft', 'campaigns', 'office', 'customer', 'communication', 'instagram', 'public', 'management', 'live', 'writing', 'public relations', 'resolving issues', 'project', 'sponsorship', 'customer satisfaction', 'journalists', 'social media', 'cisco'}"
